key,year,city,city 2,language,language 2,author (normalized),title,title_EN,BASE CONTENT,AUTHOR NAME,AUTHOR NAME 2,AUTHOR DESCRIPTION,AUTHOR DESCRIPTION 2,EUCLID REF,EUCLID DESCRIPTION,EUCLID DESCRIPTION 2,OTHER NAMES,PATRON REF,EDITION INFO 2,EDITION INFO,PRIVILEGES,VERBS,EXPLICITLY STATED: TRANSLATED FROM,EXPLICITLY STATED: TRANSLATED TO,RECIPIENT VERBS,EXPLICIT RECIPIENT 2,EXPLICIT RECIPIENT,GREEK IN NON GREEK BOOKS,INNOVATION,INSTITUTIONS,ENRICHED WITH,BOUND WITH,ELEMENTS DESIGNATION,invalid transcription,IMPRINT DATE,IMPRINT PUBLISHER,IMPRINT PLACE,IMPRINT PRIVILEGES,IMPRINT DEDICATION,IMPRINT AUTHOR NAME,IMPRINT AUTHOR DESCRIPTION,tagger,CONTENT DESC,CONTENT DESC 2,ADDITIONAL CONTENT,ADDITIONAL CONTENT 2,type,author (orig),publisher (orig),publisher (normalized),colophon,imprint,format,books,notes,ustc_id,scan_url,tp_url,tp_url_alt,frontpiece_url,imprint_EN
London 1685a,1685,London,,ENGLISH,,"Claude-François Milliet Dechales, Reeve Williams","THE ELEMENTS OF EUCLID, Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS. By Claude Francois Milliet D’Chales. a Jesuite. Done out of FRENCH, Corrected and Augmented, and Illustrated with Nine Copper Plates, and the Effigies of EVCLID, By Reeve Williams, Philomath.",,THE ELEMENTS OF EUCLID,Claude Francois Milliet D’Chales,Reeve Williams,Jesuite,Philomath,EVCLID,,,,,,Corrected and Augmented,,"Explained, Demonstrated, Done out of, Corrected, Augmented, Illustrated",FRENCH,,,,,,,Jesuite,"Explained and Demonstrated in a New and most easie Method, the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS, Corrected and Augmented, Illustrated with Nine Copper Plates, the Effigies of EVCLID",,,,1685,Philip Lea,LONDON,,,,,ai_02_14-55,Explained and Demonstrated in a New and most easie Method.,With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS.,"Illustrated with Nine Copper Plates, and the Effigies of EVCLID",,elements,"Claude-François Milliet Dechales, Reeve Williams",Philip Lea,Philip Lea,[On portrait leaf] London Printed for Phillip Lea Globe Maker at the Atlas and Hercules in Cheapside Near Friday Street There all Sorts of Globes Spheres Maps Sea:plats Mathematical Books and Instruments are Made and Sold,"LONDON: Printed for Philip Lea, Globemaker, at the Atlas and Hercules in the Poultrey, near Cheapside, 1685.",Duodecimo,"Elements 1–6, 11–12",link: https://books.google.co.il/books?id=yMllAAAAcAAJ&newbks=1&newbks_redir=0&dq=THE%20ELEMENTS%20OF%20EUCLID&pg=PP7#v=onepage&q&f=false - not in ustc,,,https://i.imgur.com/92Zy02Q.png,,,
London 1703,1703,London,,ENGLISH,,"Claude-François Milliet Dechales, Reeve Williams","THE ELEMENTS OF EUCLID, Explained and Demonstrated in a New and most Easy Method. With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS. By Claude Francois Milliet D’Chales, a Jesuite. Done out of FRENCH, Corrected and Augmented, and Illustrated with Nine Copper Plates, and the Effigies of EVCLID, By Reeve Williams, Philomath.",,THE ELEMENTS OF EUCLID,Claude Francois Milliet D’Chales,Reeve Williams,Jesuite,Philomath,EVCLID,,,,,,Corrected and Augmented,,"Explained, Demonstrated, Done out of, Corrected, Augmented, Illustrated",FRENCH,,,,,,,Jesuite,"Explained and Demonstrated in a New and most Easy Method, With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS, Corrected and Augmented, Illustrated with Nine Copper Plates, the Effigies of EVCLID",,,,1703,A. Lea,LONDON,,,,,ai_02_14-55,Explained and Demonstrated in a New and most Easy Method.,With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS.,"Illustrated with Nine Copper Plates, and the Effigies of EVCLID",,elements,"Claude-François Milliet Dechales, Reeve Williams",A. Lea,A. Lea,,"LONDON; Printed for A. Lea, Globemaker, at the Atlas and Hercules in Cheap-side, near Friday-street, 1703.",Duodecimo,"Elements 1–6, 11–12",,-,,,,,
Leipzig 1577,1577,Leipzig,,LATIN,,"Joachim Kammermeister, Moritz Valentin Steinmetz","Εuκλείδου στοιχείων βίβλια Eξ. EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX conuersi in latinum sermonem à Ioach. Camerario. QVIBUS ADIECTÆ SVNT trium priorum librorum Demonstrationes, atque editæ in gratiam & vtilitatem stu-diosorum Mathematices in Acad. Lips. à Mauritio Steinmetz Gersb. Medicinæ Licentiato.","Euclid's Elements Books Six. EUCLID'S ELEMENTS OF GEOMETRY SIX BOOKS translated into Latin by Joachim Camerarius. TO WHICH ARE ADDED the Demonstrations of the first three books, and published for the benefit and utility of students of Mathematics in the Academy of Leipzig by Maurice Steinmetz Gersbach, Licensed in Medicine.",EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX,Ioach. Camerario,à Mauritio Steinmetz Gersb,,Medicinæ Licentiato,EVCLIDIS,,,,,,,,"conuersi, ADIECTÆ, editæ",latinum,,,,stu-diosorum Mathematices in Acad. Lips,,,Acad. Lips.,"Demonstrationes, in gratiam & vtilitatem stu-diosorum Mathematices",,,,M. D LXXVII,,LIPSIÆ,,,,,ai_02_14-55,Εuκλείδου στοιχείων βίβλια Eξ,,QVIBUS ADIECTÆ SVNT trium priorum librorum Demonstrationes,,elements,"Joachim Camerarius, Moritz Valentin Steinmetz",Johannes Steinman,Johannes Steinman,"LIPSIAE, IMPRIMEBAT IOHANNES STEINMAN. Anno M. D. LXXVII.",LIPSIÆ Anno M. D LXXVII.,Octavo,Elements 1–6 (enunciations only in 4–6),,,https://www.google.co.il/books/edition/Elementa_geometrica/7d5RAAAAcAAJ,https://i.imgur.com/eBsXPtU.png,,,LEIPZIG Year 1577.
Strasbourg 1570,1570,Strasbourg,,GREEK,LATIN,Conrad Dasypodius,"ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΤΟ ΠΡΩΤΟΝ. ΗΡΩΝΟΣ ΑΛΕΞΑΝΔΡΕΩΣ ὀνόματα γεωμετρικά. EVCLIDIS ELEMENTorum Liber primus. HERONIS ALEXANDRIni vocabula geometrica: antehac nunquam edita. græcè & latinè. Per Cunradum Dasypodium, in vsum Academiæ Argentinensis.","EUCLID'S ELEMENTS THE FIRST. HERON OF ALEXANDRIA geometric names. EUCLID'S ELEMENTS Book One. HERON OF ALEXANDRIA geometric terms: never before published. in Greek & Latin. By Cunradus Dasypodius, for the use of the Academy of Strasbourg.",EVCLIDIS ELEMENTorum Liber primus,Cunradum Dasypodium,,,,"ΕΥΚΛΕΙΔΟΥ, EVCLIDIS",,,"ΗΡΩΝΟΣ ΑΛΕΞΑΝΔΡΕΩΣ, HERONIS ALEXANDRIni",,,,,edita,"græcè, latinè",,,,in vsum Academiæ Argentinensis,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΤΟ ΠΡΩΤΟΝ. ΗΡΩΝΟΣ ΑΛΕΞΑΝΔΡΕΩΣ ὀνόματα γεωμετρικά.,,Academiæ Argentinensis,,"ΗΡΩΝΟΣ ΑΛΕΞΑΝΔΡΕΩΣ ὀνόματα γεωμετρικά, HERONIS ALEXANDRIni vocabula geometrica",,,M. D. LXX.,hæredes Christiani Mylij,ARGENTORATI,,,,,ai_02_14-55,,,ΗΡΩΝΟΣ ΑΛΕΞΑΝΔΡΕΩΣ ὀνόματα γεωμετρικά,EVCLIDIS ELEMENTorum Liber primus. HERONIS ALEXANDRIni vocabula geometrica: antehac nunquam edita,elements,Conrad Dasypodius,Cunradum Dasypodium,Konrad Dasypodius,,ARGENTORATI Apud hæredes Christiani Mylij. M. D. LXX.,Octavo,Elements 1,,,https://www.google.co.il/books/edition/Euclidis_Propositiones_Elementorum_15_Op/b_AegGpLGmwC,https://i.imgur.com/yk3sQAJ.png,,,ARGENTORATI At the heirs of Christian Mylij. 1570.
Strasbourg 1599,1599,Strasbourg,,LATIN,,Conrad Dasypodius (?),"ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΠΡΩΤΟΝ.  EVCLIDIS  ELE-
MENTVM primum. PRO ACADEMIA ARgentinensi.","EUCLID'S ELEMENTS FIRST.  EUCLID'S  ELE-
MENT first. FOR THE ACADEMY OF Strasbourg.","EVCLIDIS  ELE-
MENTVM primum",,,,,"ΕΥΚΛΕΙΔΟΥ, EVCLIDIS",,,,,,,,,,,,ACADEMIA Argentinensi,,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΠΡΩΤΟΝ,,ACADEMIA Argentinensi,,,,,1599,"IOsiæ Rihelij, Andream Rietschium",ARGENTORATI,,,,,ai_02_14-55,,,EVCLIDIS,,elements,Dasypodius (?),Rihelij,Rihelij,,"ARGENTORATI TYPIS IOsiæ Rihelij, per Andream Rietschium. Anno 1599.",Octavo,Elements 1 (enunciations),,-,,,,,"ARGENTORATI PRINTED BY Josias Rihelius, through Andreas Rietschius. Year 1599."
Wittenberg 1609,1609,Wittenberg,,LATIN,,Ambrosius Rhode,"EVCLIDIS ELEMENTORUM LIBRI XIII. Succinctis & per-
spicuis demonstrationibus comprehensi à M. AMBROSIO RHODIO Kembergense, Mathematum Professore extraordinario in Academia Leucorea.","THE THIRTEEN BOOKS OF EUCLID'S ELEMENTS. Comprehended with concise & clear demonstrations by M. AMBROSIO RHODIO of Kemberg, Extraordinary Professor of Mathematics at the Leucorea Academy.",EVCLIDIS ELEMENTORUM LIBRI XIII.,M. AMBROSIO RHODIO Kembergense,,Mathematum Professore extraordinario in Academia Leucorea.,,EVCLIDIS,,,,,,,,comprehensi,,,,,,,,Academia Leucorea,Succinctis & perspicuis demonstrationibus,,ELEMENTORUM,,M. DC. IX.,Pauli Helvvigij,,,,,,ai_02_14-55,,,,,elements,Ambrosius Rhodius,Pauli Helvvigij,Paul Helwig,,"Typis Gormanianis, Impensis Pauli Helvvigij. M. DC. IX.",Octavo,Elements 1–13,,,https://www.google.co.il/books/edition/Elementorum_libri_XIII/zEg-AAAAcAAJ,https://i.imgur.com/3435cgS.png,,,"Printed by Gormanian types, at the expense of Paul Helwig. 1609."
Wittenberg 1634,1634,Wittenberg,,LATIN,,Ambrosius Rhode,"EVCLIDIS ELEMENTORUM LIBRI XIII. Succinctis & per-
spicuis demonstrationibus comprehensi à D. AMBROSIO RHODIO Kembergensi, Mathematum Super: Professore publico in Academia Leucorea. Editio postuma, priore Correctior & Emendatior.","THE THIRTEEN BOOKS OF EUCLID'S ELEMENTS. Comprised with concise & clear demonstrations by Mr. AMBROSIO RHODIO of Kemberg, Senior Professor of Mathematics at the University of Leucorea. Posthumous edition, more Corrected & Amended than the previous one.",EVCLIDIS ELEMENTORUM LIBRI XIII,D. AMBROSIO RHODIO Kembergensi,,Mathematum Super: Professore publico in Academia Leucorea,,EVCLIDIS,,,,,,"Editio postuma, priore Correctior & Emendatior.",,comprehensi,,,,,,,,Academia Leucorea,demonstrationibus,,ELEMENTORUM LIBRI XIII.,,M. DC. XXXIV.,"Hæred. Pauli Helwigii, Bib-liop., AMBROSIO ROTHIO",VVITTEBERGÆ,,,,,ai_02_14-55,"Succinctis & per-
spicuis demonstrationibus comprehensi",,,,elements,Ambrosius Rhodius,Hæred. Pauli Helwigii,Hæred. Pauli Helwigii,,"VVITTEBERGÆ, Impensis Hæred. Pauli Helwigii, Bib-liop. Excudebatur ad AMBROSIO ROTHIO. Anno M. DC. XXXIV.",Octavo,Elements 1–13,,-,https://www.google.co.il/books/edition/Euclidis_Elementorum_Libri_XIII/UptoAAAAcAAJ,https://i.imgur.com/6XPqvfQ.png,,,"VVITTEBERGÆ, At the expense of the heirs of Paul Helwig, Bookseller. Printed by AMBROSIO ROTHIO. Year 1634."
Wittenberg 1661,1661,Wittenberg,,LATIN,,Ambrosius Rhode,"EUCLIDIS ELEMENTORUM LIBRI XIII. Succinctis & per-
spicuis demonstrationibus comprehensi à D. Ambrosio Rhodio, Kembergensi, Mathematum Super: Professore publico in Academia Leucorea. Editio novissima, priore Correctior & Emendatior.","THE THIRTEEN BOOKS OF EUCLID'S ELEMENTS. Comprised with concise & clear demonstrations by Mr. Ambrosius Rhodius, of Kemberg, Senior Professor of Mathematics at the public Academy of Leucorea. Latest edition, more Correct & Improved than the previous one.",EUCLIDIS ELEMENTORUM LIBRI XIII,"D. Ambrosio Rhodio, Kembergensi",,Mathematum Super: Professore publico in Academia Leucorea,,EUCLIDIS,,,,,,"Editio novissima, priore Correctior & Emendatior.",,comprehensi,,,,,,,,Academia Leucorea,Succinctis & perspicuis demonstrationibus,,ELEMENTORUM LIBRI XIII.,,Anno M. DC. LXI.,Jobi Wilh. Fincelij,WITTEBERGÆ,,,,,ai_02_14-55,"Succinctis & per-
spicuis demonstrationibus comprehensi",,,,elements,Ambrosius Rhodius,Jobi Wilh. Fincelij,Jobi Wilh. Fincelij,,"WITTEBERGÆ, Typis & impensis Jobi Wilh. Fincelij, Anno M. DC. LXI.",Octavo,Elements 1–13,ustc not in our collection: https://www.ustc.ac.uk/editions/2589624 -- no digi,,,,,,"WITTEBERGÆ, Printed & published by Job Wilh. Fincelius, Year 1661."
Basel 1550,1550,Basel,,LATIN,,Johannes Scheubel,"EVCLIDIS Megarensis, Philosophi & MatheMATICI EXCEL-LENTISSIMI, SEX LIBRI PRIORES, DE Geometricis principijs, Græci & Latini, unà cum demonstrationibus propositionum, absque literarum notis, ueris ac proprijs, & alijs quibusdam, usum earum concernentibus, non citra maximum huius artis studiosorum emol-umentum adiectis. ALGEBRAE PORRO REGVLAE, PROPTER NVMErorum exempla, passim propositionibus adiecta, his libris præmissæ sunt, eædemque demonstratæ. AVTHORE IOANNE SCHEVBELIO, IN inclyta Academia Tubingensi Euclidis professore ordinario.","EVCLIDIS of Megara, an EXCELLENT Philosopher & Mathematician, THE FIRST SIX BOOKS, ON Geometric principles, in Greek & Latin, together with the demonstrations of propositions, without the use of letters, true and proper, & with some others, concerning their use, added not without the greatest benefit to the students of this art. MOREOVER, THE RULES OF ALGEBRA, DUE TO THE examples of numbers, are added throughout the propositions, and are prefaced to these books, and the same are demonstrated. BY THE AUTHOR IOANNES SCHEVBELIUS, IN the renowned Academy of Tübingen, the ordinary professor of Euclid.","EVCLIDIS Megarensis, Philosophi & MatheMATICI EXCEL-LENTISSIMI, SEX LIBRI PRIORES, DE Geometricis principijs",IOANNE SCHEVBELIO,,IN inclyta Academia Tubingensi Euclidis professore ordinario,,EVCLIDIS,"Megarensis, Philosophi & MatheMATICI EXCEL-LENTISSIMI",,,,,,,"demonstrationibus, adiectis, adiecta, demonstratæ",Græci,Latini,,,artis studiosorum,,,Academia Tubingensi,"demonstrationibus propositionum, absque literarum notis, ueris ac proprijs, alijs quibusdam, usum earum concernentibus, ALGEBRAE PORRO REGVLAE, PROPTER NVMErorum exempla, passim propositionibus adiecta",,,,,IOANnem Heruagium,BASILEAE,"Cum gratia & priuilegio Cæsario, ad quinquennium.",,,,ai_02_14-55,"Græci & Latini, unà cum demonstrationibus propositionum, absque literarum notis, ueris ac proprijs, & alijs quibusdam, usum earum concernentibus, non citra maximum huius artis studiosorum emol-umentum adiectis",,"ALGEBRAE PORRO REGVLAE, PROPTER NVMErorum exempla, passim propositionibus adiecta, his libris præmissæ sunt, eædemque demonstratæ",,elements,Johann Scheybl,IOANNEM Heruagium,Johann Herwagen,"BASILEAE, PER IOANNEM Heruagium, Anno salutis humanæ M. D. L. Mense Septembri.","Cum gratia & priuilegio Cæsario, ad quinquennium.
BASILEAE, PER IOANnem Heruagium.",Folio,Elements 1–6,,,https://www.google.co.il/books/edition/Euclidis_Megarensis_sex_libri_priores_de/9xzvgfKqlUwC,https://i.imgur.com/k6coQGw.png,,,"With grace & privilege of the Emperor, for five years.  
BASEL, BY IOANnes Herwagen."
Florence 1690,1690,Florence,,ITALIAN,,Vincenzio Viviani,"Vol. 1: ELEMENTI PIANI, E SOLIDI D’EVCLIDE AGL’-ILLVSTRISSIMI SIG. DELL’ACCADEMIA DE’ NOBILI.
Vol. 2: QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE, OVVERO SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO, Con nuov’ordine
distesa, e pubblicata da Vincenzio Viviani ultimo suo Discepolo.","Vol. 1: ELEMENTS OF PLANE AND SOLID GEOMETRY BY EUCLID TO THE MOST ILLUSTRIOUS MEMBERS OF THE ACADEMY OF NOBLES.
Vol. 2: THE FIFTH BOOK OF EUCLID'S ELEMENTS, OR UNIVERSAL SCIENCE OF PROPORTIONS EXPLAINED WITH THE DOCTRINE OF GALILEO, With new order
extended, and published by Vincenzio Viviani, his last Disciple.",QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE,Vincenzio Viviani,,ultimo suo Discepolo,,"EVCLIDE, EVCLIDE",,,GALILEO,AGL’-ILLVSTRISSIMI SIG. DELL’ACCADEMIA DE’ NOBILI,,,,"distesa, pubblicata",,,,,,,,ACCADEMIA DE’ NOBILI,SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO,,ELEMENTI D’EVCLIDE,,1690,"Cesare, e Francesco Bindi, Cesare, e Francesco Bindi","FIRENZE, FIRENZE","Con Licenza de’ Superiori., Con licenza de’ Super.",,,,ai_02_14-55,,,"QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE, OVVERO SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO, Con nuov’ordine
distesa, e pubblicata",,elements,Vincenzio Viviani,Cesare e Francesco Bindi,Cesare e Francesco Bindi,,"Vol. 1: IN FIRENZE, Da Cesare, e Francesco Bindi. 1690.
Per il Carlieri all’Insegna di S. Luigi. Con Licenza de’ Superiori.
Vol. 2: IN FIRENZE, Per Cesare, e Francesco Bindi 1690. E si vende all’Insegna di San Luigi Con licenza de’ Super.",Duodecimo,"Elements 1–6, 11–12",,-,,,,,"Vol. 1: IN FLORENCE, By Cesare, and Francesco Bindi. 1690.
For Carlieri at the Sign of St. Louis. With License of the Superiors.
Vol. 2: IN FLORENCE, By Cesare, and Francesco Bindi 1690. And sold at the Sign of St. Louis With license of the Super."
